@relation set1-balanced-numeric-exclnumcon-excl0

@attribute numactive numeric
@attribute sizeconnected numeric
@attribute npeople numeric

@data
25,14,2
42,28,3
15,7,2
6,6,1
16,16,1
23,13,2
12,6,2
21,13,2
16,16,3
4,4,1
23,11,2
7,7,1
32,14,2
19,8,1
25,13,3
23,11,2
44,30,3
10,6,2
16,16,1
7,6,1
45,29,3
25,13,3
0,?,1
44,30,3
28,15,3
13,13,1
10,8,1
5,5,2
7,6,1
28,15,2
48,33,3
20,15,1
25,14,3
14,13,1
20,15,1
16,15,1
32,14,2
28,25,3
20,15,1
38,14,3
15,15,1
14,13,1
25,15,2
20,15,1
28,25,3
42,28,3
33,18,2
13,13,2
45,29,3
25,13,3
10,8,1
33,15,2
32,14,2
0,?,2
23,13,2
14,13,1
5,4,2
25,14,2
12,6,2
12,12,1
21,13,2
48,32,3
12,6,2
15,7,3
21,16,3
25,14,3
23,17,3
32,14,2
38,21,2
42,17,3
6,6,1
32,14,3
23,17,3
39,25,3
13,13,1
25,14,3
42,17,3
28,25,3
14,13,1
19,16,3
23,13,2
33,18,3
28,14,1
3,1,1
13,13,1
42,27,3
10,8,1
29,16,1
48,32,3
14,14,3
25,14,2
12,6,2
28,25,3
12,12,1
19,16,3
15,7,3
47,31,3
36,17,2
12,12,1
40,26,3
23,13,2
10,8,1
32,14,2
25,14,2
25,14,2
20,15,1
14,14,1
23,13,2
33,18,3
21,10,2
7,6,1
32,14,2
25,14,2
3,1,1
34,14,3
14,14,1
14,13,1
22,13,2
13,13,1
3,1,1
15,7,2
13,8,2
50,50,2
15,7,2
6,6,1
26,15,2
28,25,3
26,25,3
27,14,2
4,3,1
7,6,1
33,16,2
26,13,2
48,31,3
1,1,1
33,16,2
5,4,2
42,28,3
26,13,2
12,12,2
28,13,2
42,17,3
28,25,3
28,13,2
33,18,3
42,28,3
5,5,2
15,7,2
1,1,1
28,25,3
0,?,2
32,14,2
23,13,2
12,12,1
28,25,3
48,32,3
24,14,2
12,11,1
39,14,3
12,6,2
39,14,3
25,14,3
25,11,2
3,1,1
16,16,1
6,6,2
32,16,3
25,13,3
11,6,2
15,7,3
34,16,2
21,21,1
33,15,2
20,15,1
27,14,2
40,26,3
16,9,2
38,14,3
39,14,3
20,15,1
20,15,1
12,12,1
16,14,1
6,6,1
21,13,2
32,14,2
28,25,3
23,13,2
12,12,1
17,7,3
12,12,1
0,?,1
18,13,1
42,28,3
39,25,3
3,1,1
48,33,3
32,14,2
16,14,1
15,15,1
20,15,1
32,14,2
10,5,2
26,15,2
6,6,1
6,6,1
25,14,3
44,44,3
26,13,2
14,13,1
15,7,3
6,6,1
5,5,2
28,13,2
33,18,3
11,6,2
7,7,1
23,13,2
10,6,2
42,27,3
33,17,3
7,7,1
44,29,3
15,7,2
33,19,1
19,16,3
21,21,3
26,25,3
33,17,3
13,8,2
12,12,1
6,6,1
10,10,1
7,7,1
10,5,2
4,4,1
12,12,1
27,14,2
48,33,3
13,7,2
33,16,2
23,11,2
32,14,2
17,15,1
17,7,3
20,15,1
13,13,1
5,5,2
11,6,2
26,13,2
16,14,1
21,16,3
28,25,3
37,24,3
25,14,2
17,7,3
15,7,2
11,6,2
33,16,2
33,16,2
20,15,1
41,14,3
35,12,3
32,14,3
18,18,1
33,33,2
26,13,1
28,13,2
9,9,1
47,29,3
28,13,2
14,13,1
1,1,1
10,5,2
20,15,1
39,14,3
33,17,3
23,13,2
39,14,3
39,14,3
8,8,2
21,21,1
24,14,2
20,15,1
33,15,2
1,1,1
14,13,1
30,14,2
27,14,2
42,27,3
17,16,1
42,28,3
38,14,3
32,15,2
12,6,2
12,12,2
11,11,1
33,16,2
40,26,3
23,11,2
13,13,2
23,13,2
11,11,1
14,13,2
9,9,1
10,5,2
15,15,1
32,14,2
44,44,3
33,16,2
6,6,1
41,14,3
38,14,3
47,31,3
13,13,1
33,18,3
16,14,1
28,25,3
13,13,1
10,8,1
7,7,1
42,17,3
15,7,3
19,11,2
28,25,3
21,10,2
23,11,2
20,15,1
28,25,3
24,12,2
28,25,3
6,6,1
19,17,1
30,16,3
11,6,2
32,14,2
6,6,1
24,12,2
23,17,3
37,24,3
25,14,3
19,16,3
21,21,3
21,21,3
11,6,2
12,6,3
5,4,2
22,13,2
32,14,2
33,18,3
14,14,3
32,14,2
28,25,3
10,5,2
11,6,2
23,13,2
15,8,2
0,?,1
35,17,2
16,14,1
15,13,1
19,8,1
20,15,1
12,6,3
33,19,1
35,12,3
25,13,3
14,14,3
12,12,1
15,7,3
28,14,2
25,14,2
11,11,1
7,7,1
